sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angularVelocityX;angularVelocityY;angularVelocityZ;
1584543043;364892;758;857870;1584543043;364892;0.4272461;0.4882812;0.4272461;
1584543043;454540;758;949717;1584543043;454540;0.4272461;0.4882812;0.3051758;
1584543043;480625;758;981344;1584543043;480625;0.4272461;0.6713867;0.4272461;
1584543043;568795;759;62105;1584543043;568795;0.4272461;0.5493164;0.3662109;
1584543043;662477;759;155558;1584543043;662477;0.4272461;0.4882812;0.4882812;
1584543043;693462;759;190919;1584543043;693462;0.3662109;0.4272461;0.6713867;
1584543043;774127;759;269404;1584543043;774127;0.4272461;0.4882812;0.3662109;
1584543043;867964;759;361448;1584543043;867964;0.4272461;0.4272461;0.4882812;
1584543043;954069;759;446389;1584543043;954069;0.793457;0.1220703;0.4882812;
1584543043;981595;759;475255;1584543043;981595;0.5493164;0.8544922;0.6713867;
1584543044;74311;759;566654;1584543044;74311;-0.793457;0.06103516;0.5493164;
1584543044;189047;759;685045;1584543044;189047;4.638672;-0.3662109;1.586914;
1584543044;279373;759;772254;1584543044;279373;2.319336;2.807617;-0.5493164;
1584543044;311024;759;804417;1584543044;311024;-0.8544922;1.037598;1.708984;
1584543044;411756;759;904245;1584543044;411756;9.643555;-3.295898;3.112793;
1584543044;499161;759;993584;1584543044;499161;0.9155273;-5.371094;-1.281738;
1584543044;579465;760;72790;1584543044;579465;11.53564;-2.563477;-0.7324219;
1584543044;674914;760;168250;1584543044;674914;17.02881;0.5493164;2.258301;
1584543044;714819;760;208017;1584543044;714819;-24.90234;10.00977;1.037598;
1584543044;794421;760;287456;1584543044;794421;13.85498;5.67627;3.90625;
1584543044;894707;760;405709;1584543044;894707;-0.2441406;10.00977;1.342773;
1584543044;989937;760;482668;1584543044;989937;-19.28711;8.789062;2.319336;
1584543045;84524;760;577345;1584543045;84524;10.86426;17.76123;0.4272461;
1584543045;115773;760;609921;1584543045;115773;-10.62012;-17.82227;2.563477;
1584543045;223037;760;716501;1584543045;223037;12.75635;8.483887;-0.2441406;
1584543045;320807;760;814335;1584543045;320807;2.441406;12.08496;3.479004;
1584543045;406597;760;900296;1584543045;406597;4.089355;19.22607;3.78418;
1584543045;490349;760;983103;1584543045;490349;-2.868652;2.807617;-0.3051758;
1584543045;584810;761;77819;1584543045;584810;25.45166;-4.150391;6.103516;
1584543045;611633;761;105004;1584543045;611633;-5.67627;-7.69043;7.507324;
1584543045;700714;761;199210;1584543045;700714;-14.22119;-8.544922;11.96289;
1584543045;790306;761;282987;1584543045;790306;16.6626;14.4043;16.8457;
1584543045;828607;761;322402;1584543045;828607;-9.094238;6.530762;16.6626;
1584543045;913211;761;407208;1584543045;913211;-14.77051;-8.300781;13.73291;
1584543045;996040;761;488568;1584543045;996040;-23.13232;11.35254;16.35742;
1584543046;31429;761;523894;1584543046;31429;-23.4375;-1.525879;14.83154;
1584543046;112472;761;607716;1584543046;112472;-15.56396;5.859375;18.06641;
1584543046;206011;761;698719;1584543046;206011;22.94922;4.272461;16.11328;
1584543046;300899;761;793852;1584543046;300899;25.02441;9.155273;19.53125;
1584543046;395915;761;888447;1584543046;395915;-9.82666;16.23535;16.6626;
1584543046;435802;761;928920;1584543046;435802;-13.06152;-3.479004;20.01953;
1584543046;533987;762;27976;1584543046;533987;33.02002;0.06103516;18.55469;
1584543046;616084;762;109264;1584543046;616084;29.60205;2.807617;19.22607;
1584543046;705918;762;198981;1584543046;705918;-24.4751;2.868652;16.29639;
1584543046;726776;762;238375;1584543046;726776;-12.81738;-2.746582;15.68604;
1584543046;842347;762;335395;1584543046;842347;-2.563477;7.324219;15.86914;
1584543046;927022;762;430125;1584543046;927022;10.0708;18.24951;26.7334;
1584543046;961536;762;454779;1584543046;961536;-27.89307;27.58789;20.69092;
1584543047;46787;762;540037;1584543047;46787;16.72363;-17.15088;22.76611;
1584543047;72305;762;565483;1584543047;72305;22.76611;6.225586;27.9541;
1584543047;166967;762;659429;1584543047;166967;-28.93066;-10.25391;28.07617;
1584543047;190970;762;684188;1584543047;190970;-32.10449;16.8457;31.98242;
1584543047;219921;762;712995;1584543047;219921;-38.26904;-15.93018;24.6582;
1584543047;307058;762;799957;1584543047;307058;-8.056641;5.310059;31.25;
1584543047;346365;762;839336;1584543047;346365;-12.20703;-12.57324;26.79443;
1584543047;427413;762;920700;1584543047;427413;28.32031;-17.57812;39.0625;
1584543047;516287;763;9416;1584543047;516287;0.6103516;-9.643555;44.67773;
1584543047;557601;763;56105;1584543047;557601;14.09912;-11.16943;46.875;
1584543047;651573;763;144466;1584543047;651573;19.47021;-11.77979;24.78027;
1584543047;677110;763;171018;1584543047;677110;8.178711;10.0708;24.23096;
1584543047;703391;763;196248;1584543047;703391;-1.220703;1.77002;29.72412;
1584543047;746297;763;239797;1584543047;746297;-15.38086;-14.22119;21.60645;
1584543047;832258;763;325911;1584543047;832258;10.80322;-11.65771;21.85059;
1584543047;928458;763;421662;1584543047;928458;5.371094;-13.91602;25.02441;
1584543048;24083;763;517251;1584543048;24083;-13.5498;-5.737305;41.01562;
1584543048;117148;763;610417;1584543048;117148;4.455566;18.43262;52.18506;
1584543048;143366;763;644100;1584543048;143366;-2.624512;5.737305;43.33496;
1584543048;232212;763;725298;1584543048;232212;-12.81738;22.15576;48.0957;
1584543048;332272;763;825201;1584543048;332272;-19.59229;2.868652;46.32568;
1584543048;436990;763;930659;1584543048;436990;18.55469;0.4882812;52.24609;
1584543048;466496;763;963299;1584543048;466496;14.28223;-31.12793;52.79541;
1584543048;491984;763;988250;1584543048;491984;-14.70947;-10.86426;43.94531;
1584543048;516735;764;17113;1584543048;516735;14.09912;-6.04248;53.6499;
1584543048;607875;764;100772;1584543048;607875;11.84082;2.563477;51.2085;
1584543048;639052;764;132659;1584543048;639052;-2.563477;-15.93018;50.84229;
1584543048;730038;764;222213;1584543048;730038;-8.300781;3.540039;43.27393;
1584543048;760735;764;253499;1584543048;760735;7.202148;-8.300781;41.25977;
1584543048;842867;764;336617;1584543048;842867;28.62549;-12.57324;24.4751;
1584543048;867564;764;359775;1584543048;867564;2.624512;-4.638672;20.69092;
1584543048;886030;764;377927;1584543048;886030;2.13623;-7.69043;29.84619;
1584543048;902115;764;394156;1584543048;902115;-7.019043;-13.42773;18.37158;
1584543048;917324;764;409538;1584543048;917324;-10.25391;5.310059;13.85498;
1584543049;17049;764;509728;1584543049;17049;3.051758;8.850098;-17.08984;
1584543049;38019;764;531244;1584543049;38019;10.49805;18.43262;-24.53613;
1584543049;122947;764;616674;1584543049;122947;-0.1220703;4.394531;-30.82275;
1584543049;144233;764;637301;1584543049;144233;-6.347656;4.089355;-29.78516;
1584543049;233221;764;726021;1584543049;233221;30.70068;9.521484;-2.807617;
1584543049;256850;764;753728;1584543049;256850;21.3623;18.43262;-6.835938;
1584543049;338048;764;831119;1584543049;338048;-27.771;-5.310059;-2.807617;
1584543049;367202;764;861141;1584543049;367202;-21.66748;-22.3999;-9.094238;
1584543049;448133;764;941864;1584543049;448133;0.1831055;-8.117676;31.06689;
1584543049;532826;765;25605;1584543049;532826;9.521484;13.18359;61.64551;
1584543049;554539;765;49827;1584543049;554539;8.300781;10.74219;61.15723;
1584543049;633090;765;125960;1584543049;633090;3.112793;15.56396;33.81348;
1584543049;654937;765;157481;1584543049;654937;-16.17432;-0.2441406;19.65332;
1584543049;743301;765;236588;1584543049;743301;-21.60645;-5.92041;-5.737305;
1584543049;828742;765;322082;1584543049;828742;-15.01465;14.83154;0.793457;
1584543049;848863;765;341444;1584543049;848863;-11.90186;-1.037598;5.92041;
1584543049;933400;765;426661;1584543049;933400;-23.86475;22.33887;-17.02881;
1584543049;954272;765;447958;1584543049;954272;-17.39502;10.80322;-20.20264;
1584543050;39197;765;532016;1584543050;39197;9.765625;-5.67627;-42.96875;
1584543050;60335;765;564027;1584543050;60335;9.521484;-7.385254;-34.05762;
1584543050;148547;765;641287;1584543050;148547;3.967285;-29.78516;-24.53613;
1584543050;233435;765;726235;1584543050;233435;4.211426;-9.521484;-0.8544922;
1584543050;253220;765;747782;1584543050;253220;-3.112793;16.60156;-4.394531;
1584543050;338740;765;832188;1584543050;338740;2.868652;3.356934;-20.50781;
1584543050;359225;765;852993;1584543050;359225;-9.216309;-7.446289;-24.84131;
1584543050;449852;765;942530;1584543050;449852;9.82666;4.821777;-32.65381;
1584543050;478397;765;971372;1584543050;478397;-5.737305;0.4272461;-36.8042;
1584543050;559000;766;52403;1584543050;559000;6.286621;-0.3051758;-19.16504;
1584543050;643874;766;137323;1584543050;643874;10.49805;6.225586;-2.13623;
1584543050;665033;766;160946;1584543050;665033;21.30127;-4.333496;-9.155273;
1584543050;749043;766;241900;1584543050;749043;1.281738;-32.40967;-34.729;
1584543050;773989;766;270107;1584543050;773989;-9.338379;-21.11816;-32.77588;
1584543050;854242;766;347232;1584543050;854242;-2.441406;7.995605;-35.03418;
1584543050;944469;766;437056;1584543050;944469;-1.037598;18.61572;-37.35352;
1584543050;965351;766;465516;1584543050;965351;2.563477;7.385254;-40.77148;
1584543051;86395;766;580227;1584543051;86395;1.098633;-1.953125;-43.396;
